NMFS_DNA_ID,sample_type,repunit,collection
NF000173,reference,StMatthew,StMatthew
NF000174,reference,StMatthew,StMatthew
NF000175,reference,StMatthew,StMatthew
NF000176,reference,StMatthew,StMatthew
NF000178,reference,StMatthew,StMatthew
NF000179,reference,StMatthew,StMatthew
NF000180,reference,StMatthew,StMatthew
NF000181,reference,StMatthew,StMatthew
NF000182,reference,StMatthew,StMatthew
NF000183,reference,StMatthew,StMatthew
NF000184,reference,StMatthew,StMatthew
NF000185,reference,StMatthew,StMatthew
NF000186,reference,StMatthew,StMatthew
NF000187,reference,StMatthew,StMatthew
NF000188,reference,StMatthew,StMatthew
NF000189,reference,StMatthew,StMatthew
NF000190,reference,StMatthew,StMatthew
NF000191,reference,StMatthew,StMatthew
NF000192,reference,StMatthew,StMatthew
NF000193,reference,Semidi,Semidi
NF000194,reference,Semidi,Semidi
NF000195,reference,Semidi,Semidi
NF000196,reference,Semidi,Semidi
NF000197,reference,Semidi,Semidi
NF000198,reference,Semidi,Semidi
NF000199,reference,Semidi,Semidi
NF000200,reference,Semidi,Semidi
NF000201,reference,Semidi,Semidi
NF000202,reference,Semidi,Semidi
NF000203,reference,Semidi,Semidi
NF000204,reference,Semidi,Semidi
NF000205,reference,Semidi,Semidi
NF000206,reference,Semidi,Semidi
NF000207,reference,Semidi,Semidi
NF000208,reference,Semidi,Semidi
NF000209,reference,Semidi,Semidi
NF000210,reference,Semidi,Semidi
NF000211,reference,Semidi,Semidi
NF000212,reference,Semidi,Semidi
NF000213,reference,Semidi,Semidi
NF000214,reference,Semidi,Semidi
NF000215,reference,Semidi,Semidi
NF000216,reference,Semidi,Semidi
NF000217,reference,Semidi,Semidi
NF000218,reference,Semidi,Semidi
NF000219,reference,Semidi,Semidi
NF000220,reference,Semidi,Semidi
NF000221,reference,Semidi,Semidi
NF000222,reference,Semidi,Semidi
NF000223,reference,Semidi,Semidi
NF000224,reference,Semidi,Semidi
NF000225,reference,Semidi,Semidi
NF000226,reference,Semidi,Semidi
NF000227,reference,Semidi,Semidi
NF000228,reference,Semidi,Semidi
NF000229,reference,Semidi,Semidi
NF000230,reference,Semidi,Semidi
NF000231,reference,Semidi,Semidi
NF000232,reference,Semidi,Semidi
NF000233,reference,Semidi,Semidi
NF000234,reference,Semidi,Semidi
NF000235,reference,Semidi,Semidi
NF000236,reference,Semidi,Semidi
NF000237,reference,Semidi,Semidi
NF000238,reference,Semidi,Semidi
NF000239,reference,Semidi,Semidi
NF000240,reference,Semidi,Semidi
NF000241,reference,Semidi,Semidi
NF000242,reference,Semidi,Semidi
NF000243,reference,Semidi,Semidi
NF000244,reference,Semidi,Semidi
NF000245,reference,Semidi,Semidi
NF000246,reference,Semidi,Semidi
NF000247,reference,Semidi,Semidi
NF000248,reference,Semidi,Semidi
NF000249,reference,Semidi,Semidi
NF000250,reference,Semidi,Semidi
NF000251,reference,Semidi,Semidi
NF000252,reference,Semidi,Semidi
NF000253,reference,Semidi,Semidi
NF000254,reference,Semidi,Semidi
NF000255,reference,Semidi,Semidi
NF000256,reference,Semidi,Semidi
NF000257,reference,Semidi,Semidi
NF000258,reference,Semidi,Semidi
NF000259,reference,Semidi,Semidi
NF000260,reference,Semidi,Semidi
NF000261,reference,Semidi,Semidi
NF000262,reference,Semidi,Semidi
NF000263,reference,Semidi,Semidi
NF000264,reference,Semidi,Semidi
