SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score,TemporalAvail,SpatialAvail,FisheriesCollMonth,FisheriesCollSeason,FisheriesLatDD,FisheriesLongDD,MissingSBND
09-0467,NF001916,Chagulak,0.997191317,0.921837289,1,1,9,breeding,51.68333,-178.25,3366
09-0477,NF001917,StMatthew,0.997413924,0.879227663,1,1,9,breeding,56.26667,-170.13333,
10-0291,NF001920,Semidi,0.999982686,0.596248219,1,1,9,breeding,56.2,-162.33333,
10-0368,NF001922,Pribilof,0.994675832,1.744709968,1,1,9,breeding,57.635,-172.45667,
10-0369,NF001923,Semidi,0.999807975,0.966599122,1,1,10,nonbreeding,57.635,-172.45667,
10-0370,NF001924,Chagulak,0.999138938,0.85798868,1,1,4,nonbreeding,59.31667,-176.7,
10-0371,NF001925,Chagulak,0.997909564,1.296431473,1,1,12,nonbreeding,59.63333,-177.06667,
10-0400,NF001929,Pribilof,0.99983975,1.160911658,1,1,9,breeding,56.3,-169.83333,
10-0403,NF001932,Semidi,0.997635772,1.613572311,1,1,7,breeding,58.56888889,-176.9191667,
10-0404,NF001933,StMatthew,0.996739833,-0.041681839,1,1,7,breeding,58.56888889,-176.9191667,
10-0405,NF001934,Pribilof,0.946371201,1.863735821,1,1,7,breeding,58.585,-177.1847222,
10-0406,NF001935,StMatthew,0.998742375,0.088803952,1,1,7,breeding,58.585,-177.1847222,
10-0407,NF001936,Semidi,0.952032773,0.065587263,1,1,7,breeding,58.585,-177.1847222,
10-0408,NF001937,StMatthew,0.924607162,1.93870946,1,1,7,breeding,58.55,-177.0833333,
10-0415,NF001938,Semidi,0.997172116,1.002715966,1,1,7,breeding,51.71861,-178.39028,
10-0416,NF001939,Pribilof,0.991601786,1.929280817,1,1,7,breeding,58.59333,-173.41,
10-0417,NF001940,Pribilof,0.98160893,-0.344741003,1,1,7,breeding,58.59333,-173.41,
10-0418,NF001941,Semidi,0.995999427,1.567601475,1,1,7,breeding,54.90333,176.655,
10-0419,NF001942,StMatthew,0.999987276,0.526718446,1,1,7,breeding,54.90333,176.655,
10-0420,NF001943,Semidi,0.999953253,0.403548393,1,1,7,breeding,54.90333,176.655,
10-0421,NF001944,Chagulak,0.996567804,-0.344692689,1,1,7,breeding,54.90333,176.655,
10-0423,NF001945,Semidi,0.999557192,-0.384512539,1,1,6,breeding,56.58333,-170.53333,3531
10-0427,NF001947,Chagulak,0.990957998,1.441798016,1,1,8,breeding,60.07833,-173.39167,
10-0430,NF001949,Pribilof,0.999970604,-0.738976637,1,1,2,nonbreeding,57.435,-173.64,
10-0431,NF001950,Chagulak,0.999938619,0.138103641,1,1,1,nonbreeding,56.66667,-170.06667,
10-0432,NF001951,Pribilof,0.996389063,0.273606677,1,1,2,nonbreeding,55.43333,-164.2,
10-0433,NF001952,Semidi,0.983263546,1.102177907,1,1,2,nonbreeding,55.08167,-165.53833,
10-0437,NF001954,Semidi,0.999059696,0.048428935,1,1,3,nonbreeding,55.31917,-163.65611,
10-0438,NF001955,StMatthew,0.998990946,-0.986997356,1,1,8,breeding,56.475,-166.385,
10-0441,NF001958,StMatthew,0.998972912,1.952037951,1,1,8,breeding,56.475,-166.385,
10-0442,NF001959,Chagulak,0.99965187,0.124561185,1,1,8,breeding,56.475,-166.385,
