SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score
14-0237,NF001272,Pribilof,0.9999589195463129,0.0035988507537061906
14-0238,NF001273,Pribilof,0.9942264492014555,1.1041460305496582
14-0244,NF001274,Pribilof,0.9839146696116071,0.4211551128358647
14-0245,NF001275,Pribilof,0.99999518918404,1.3881443245022136
14-0246,NF001276,Semidi,0.9999463120579434,0.26100630447606965
14-0248,NF001278,Chagulak,0.9955076901733468,1.6706266158953433
14-0250,NF001280,Semidi,0.9989624145289423,0.29096714974627474
14-0252,NF001282,Pribilof,0.997783689143216,0.8752789302206275
14-0253,NF001283,Semidi,0.9998202537652113,1.332971047205937
14-0255,NF001285,StMatthew,0.9945521040947968,-0.731024469630386
14-0256,NF001286,Chagulak,0.9999926368717619,-0.09053240881259678
14-0257,NF001287,StMatthew,0.9992847845480849,-0.5500020993670217
14-0476,NF001288,Pribilof,0.9954881570626627,0.32604807535148683
14-0479,NF001291,StMatthew,0.9994466908330216,-0.30179796883249027
14-0480,NF001292,StMatthew,0.998518025996345,0.2602428790055076
14-0484,NF001296,StMatthew,0.9999197958544339,-0.5404661803014422
14-0485,NF001297,Semidi,0.9860140804405041,1.3181117257509765
14-0492,NF001301,Semidi,0.9605102107974146,1.249391755478906
14-0494,NF001303,StMatthew,0.9822296371988793,0.9556955344707567
14-0495,NF001304,Semidi,0.9999792427266921,1.2526462082510488
14-0496,NF001305,Chagulak,0.9999339221248293,-0.42150921872343694
14-0497,NF001306,Pribilof,0.9993191482627384,-0.29315122942423394
14-0500,NF001308,StMatthew,0.9970110867371422,0.5509180545579969
14-0502,NF001310,Semidi,0.9993466745703093,-0.9025000579207351
14-0504,NF001312,Chagulak,0.9999846328698004,1.4415626846692924
14-0505,NF001313,Chagulak,0.9558357091486877,-0.7290050015836144
14-0506,NF001314,Semidi,0.9969799256535524,1.4442423068306005
14-0509,NF001316,StMatthew,0.9966716704482015,0.5970477528959275
14-0510,NF001317,Chagulak,0.9751959115915048,0.21997600568921838
14-0512,NF001318,Chagulak,0.9998468444290947,-0.4719239775096638
14-0515,NF001320,StMatthew,0.999627792380039,-0.40520124879172265
14-0517,NF001321,Semidi,0.9903160462486297,-2.4472512229670134
14-0519,NF001323,Pribilof,0.9880971585461963,0.36487467145219193
14-0520,NF001324,Pribilof,0.9982128446566684,0.9081358952576958
14-0522,NF001326,Semidi,0.9933790903730355,1.3635469823692634
14-0523,NF001327,Semidi,0.9995112343842141,0.03849592197840514
14-0524,NF001328,Pribilof,0.9927682366099129,-1.091196133457854
14-0526,NF001329,Semidi,0.9965295199972093,1.7296481768055587
14-0527,NF001330,Pribilof,0.9976679178521652,0.07356418428894006
14-0528,NF001331,Pribilof,0.9996726376903122,-1.7251816916011025
14-0529,NF001332,StMatthew,0.9994441342063922,-0.2993893297054173
14-0530,NF001333,Semidi,0.9996135886933506,0.6483930886056851
14-0531,NF001334,StMatthew,0.9994685399875655,-0.9199615705341263
14-0534,NF001337,StMatthew,0.999849376552692,0.6056859750191875
14-0535,NF001338,StMatthew,0.9955592435618366,1.9277694805479453
14-0536,NF001339,StMatthew,0.998756169880223,-0.4977361575077385
14-0537,NF001340,StMatthew,0.9999028553527481,0.09018846860003353
12-0085,NF001342,Pribilof,0.9999009060258888,0.47916605200830514
12-0086,NF001343,Pribilof,0.99120018300750945,0.6203966999887557
12-0087,NF001344,Pribilof,0.9976741720256824,-0.7803601171099285
12-0088,NF001345,Pribilof,0.9947916850685192,-0.043206716341098725
12-0094,NF001347,StMatthew,0.9966780346005932,0.14756218927633005
12-0095,NF001348,Pribilof,0.9998966584362757,-1.8715333339480236
12-0096,NF001349,Semidi,0.9975363713192874,1.317385108842085
12-0100,NF001352,Semidi,0.9992732854952432,2.4301739880382143
12-0102,NF001353,Semidi,0.9829260978970946,1.7801149013572557
12-0103,NF001354,Semidi,0.9987072184060056,1.756888382283152
12-0105,NF001355,StMatthew,0.99711432059089,0.6111554201715702
12-0106,NF001356,Semidi,0.986314407756373,-0.28647080460280056
12-0110,NF001360,Pribilof,0.9838397752307966,1.2298528466004608
12-0111,NF001361,Pribilof,0.9998075235697953,0.32238652110176214
12-0112,NF001362,Semidi,0.9791716138838787,0.43525684733623893
12-0115,NF001365,Semidi,0.9999802921792725,0.03854175171010941
12-0116,NF001366,StMatthew,0.9999839702157768,1.422150641802652
12-0117,NF001367,Semidi,0.9990302487735683,0.3805304356340998
12-0121,NF001370,StMatthew,0.9999519951352266,0.8480881796530051
12-0125,NF001373,Semidi,0.9994904629572963,0.11811247750771359
12-0126,NF001374,StMatthew,0.9998536739481777,-0.002871012900194148
12-0128,NF001376,Pribilof,0.9940428263134385,0.939106375566267
12-0129,NF001377,Pribilof,0.9997790356264332,-0.7584210622888301
12-0130,NF001378,Chagulak,0.9999810488639721,0.10625495052493647
12-0131,NF001379,Semidi,0.9906479380307606,2.3834880378909995
12-0135,NF001383,Pribilof,0.9504095719442862,0.9983422103409939
12-0136,NF001384,Chagulak,0.9948675825153328,0.6323442958807343
12-0138,NF001386,Semidi,0.9995564630603753,0.2127295492693467
12-0139,NF001387,Chagulak,0.9869548135847057,0.6657493765486027
12-0140,NF001388,StMatthew,0.9991811694901197,0.64139691675024
12-0141,NF001389,StMatthew,0.9787918038744998,0.13186240914491196
12-0144,NF001392,StMatthew,0.9946715703529978,0.13887124580665233
13-0010,NF001394,Pribilof,0.9997679083509574,0.7719103701304879
13-0012,NF001396,Chagulak,0.998572095337987,0.5356544828857721
13-0013,NF001397,Pribilof,0.9964515750485532,0.6563898562649559
13-0014,NF001398,StMatthew,0.9796955347552834,0.6639250384617209
13-0015,NF001399,StMatthew,0.9994214851464,-0.831752216296121
13-0016,NF001400,Semidi,0.9999924826801742,1.0831208828175507
13-0017,NF001401,Chagulak,0.9996422870233412,-1.370212816366426
13-0018,NF001402,Pribilof,0.9997279681365584,0.03995555139281087
13-0019,NF001403,Semidi,0.9999956172488345,-0.17782412017531193
13-0020,NF001404,StMatthew,0.9787899275507389,1.618900425818206
13-0021,NF001405,StMatthew,0.9785627881545109,0.38756153289920586
13-0023,NF001407,Chagulak,0.9992857368703331,-0.14679035753727596
13-0024,NF001408,StMatthew,0.9999989332090279,-1.0737363714544932
13-0033,NF001409,StMatthew,0.9918902037423789,0.6484343486035259
13-0035,NF001411,StMatthew,0.9996559769751833,0.3785855487607465
13-0036,NF001412,StMatthew,0.9868046403795984,0.26829718852469386
13-0037,NF001413,StMatthew,0.9974538253177456,0.8388459205999934
13-0042,NF001417,StMatthew,0.9933851909227233,-1.1463746171865892
13-0044,NF001419,StMatthew,0.9838786220867609,1.152342303117103
13-0045,NF001420,Semidi,0.9990509160313409,0.9021047108694661
13-0046,NF001421,Semidi,0.9974994016953703,0.5533377118353141
13-0358,NF001422,Pribilof,0.9961457509032401,1.127560798320382
13-0359,NF001423,Semidi,0.9974395513215293,0.2677453656667992
13-0361,NF001425,Semidi,0.9999762205416826,0.5628856777099542
13-0362,NF001426,Pribilof,0.9995037027842255,0.323121138183902
13-0364,NF001428,Pribilof,0.998026912225105,-0.6573606551943317
13-0365,NF001429,Chagulak,0.9997826613545324,-0.02333374631208402
13-0368,NF001432,Semidi,0.9996520467033881,1.2051602454196775
13-0369,NF001433,Chagulak,0.9868377313360372,1.3197718138123722
13-0370,NF001434,Semidi,0.99982788117559,1.6118015909994792
13-0371,NF001435,Semidi,0.9993435160024549,0.018673487838125735
13-0372,NF001436,Semidi,0.9985280900716207,0.904119651359169
13-0374,NF001438,Semidi,0.9917698914832278,1.482547800908267
13-0375,NF001439,Semidi,0.9998351911129456,0.619863450240365
13-0377,NF001441,Semidi,0.9998988009773715,1.1458094350042534
13-0378,NF001442,Semidi,0.9999902783968129,-0.053349697031895085
13-0379,NF001443,Chagulak,0.9962948693197939,2.336542779741227
13-0380,NF001444,Semidi,0.9997601906795599,1.2104952577582861
13-0382,NF001446,Semidi,0.9988803585150886,0.845399056926871
13-0384,NF001448,Chagulak,0.938681675198391,1.6001312525311204
13-0385,NF001449,Chagulak,0.9998264487514179,0.2689695833541643
13-0387,NF001451,StMatthew,0.9959112284871741,-0.7839657394099168
13-0388,NF001452,Semidi,0.9991011481939012,-0.1645824816036833
13-0389,NF001453,Semidi,0.9990202011069141,0.41317671791193905
13-0390,NF001454,Chagulak,0.950167267375291,1.6326752184043853
13-0391,NF001455,Semidi,0.999886425676233,2.016999001999478
13-0392,NF001456,Chagulak,0.9491213060092079,-1.1644848834759078
13-0394,NF001458,Semidi,0.9967650381218219,-0.030608335655868443
13-0397,NF001461,Pribilof,0.9999249200337605,1.0269977806228554
13-0399,NF001463,Chagulak,0.9999884421850697,-1.1675778057815582
13-0400,NF001464,Chagulak,0.9005137473574506,-0.8425104960149477
13-0401,NF001465,StMatthew,0.9993309270968518,1.2797458786087736
13-0402,NF001466,Semidi,0.9994492363531857,0.9821252556610309
13-0403,NF001467,StMatthew,0.9399543873267432,-0.8132386240280579
13-0404,NF001468,StMatthew,0.9999757410145753,-0.3092917190158223
13-0406,NF001470,Semidi,0.9980667256854182,0.09226369188774625
13-0407,NF001471,Semidi,0.9998076759157809,-0.12149487222324215
13-0409,NF001472,Semidi,0.9799551508238797,1.3188455433684902
13-0410,NF001473,Semidi,0.9999173786495607,0.4550985235856592
13-0411,NF001474,Semidi,0.9998835059810208,-0.288513544888818
13-0412,NF001475,StMatthew,0.9980756705990061,-1.033281142764907
13-0047,NF001476,StMatthew,0.9990145828248342,1.2625206197815757
13-0070,NF001477,Chagulak,0.999822529887442,1.8972787049874937
13-0071,NF001478,StMatthew,0.9890901425958534,0.7732649795259083
13-0072,NF001479,Semidi,0.9999993873754188,0.3426534112934499
13-0074,NF001481,Semidi,0.9930945621626044,1.0631010800885734
13-0077,NF001483,Pribilof,0.9348575889507466,1.520537786322566
13-0078,NF001484,StMatthew,0.9997397436805018,1.80228135591914
13-0087,NF001490,Pribilof,0.9955984610158917,0.23170446120394786
13-0090,NF001493,StMatthew,0.9954608120206675,1.9521989642134732
13-0091,NF001494,Pribilof,0.987172124127375,1.2348415734196319
13-0092,NF001495,Chagulak,0.9999840368580466,-1.1413593259978563
13-0093,NF001496,StMatthew,0.9792811453935805,1.3014336506646766
13-0110,NF001497,Chagulak,0.9985057316576309,0.6784169796291302
13-0111,NF001498,StMatthew,0.990947601481432,-1.01694976342524
13-0112,NF001499,Chagulak,0.9996707171549278,1.2201101524321212
13-0115,NF001502,StMatthew,0.9099774854618163,2.155696446765157
13-0116,NF001503,StMatthew,0.9343497353533718,1.2465530013273793
13-0118,NF001505,Semidi,0.9736620803204399,-0.9569071928354725
13-0120,NF001507,StMatthew,0.9999413427714222,0.5668933351126455
13-0122,NF001509,Semidi,0.9999413540773114,0.6151368291005181
13-0123,NF001510,Pribilof,0.999984659944381,0.28075321333646636
13-0124,NF001511,StMatthew,0.9995550472837849,-0.8977933753040988
13-0301,NF001512,Pribilof,0.990747516535096,0.2662364074441105
13-0304,NF001514,Semidi,0.9999973848306121,1.7720634053433209
13-0305,NF001515,Semidi,0.9935122026366844,0.5168788392278434
13-0307,NF001517,Pribilof,0.9999337714598021,1.6888549101038377
13-0308,NF001518,Pribilof,0.9998822543592323,-1.5638705795235546
13-0311,NF001520,Semidi,0.9967033442355407,-1.0821644686083773
13-0313,NF001522,Chagulak,0.9998581785512737,0.8144408341279982
13-0314,NF001523,Semidi,0.9990769666769966,0.04389655038225713
13-0315,NF001524,Pribilof,0.9817188119289008,1.7537631422609266
13-0316,NF001525,Chagulak,0.9971584759683434,0.11912713939531065
13-0317,NF001526,Semidi,0.9981884758802838,0.5178963964629891
13-0318,NF001527,Chagulak,0.9978231379539417,1.3906843769494115
13-0319,NF001528,Chagulak,0.9813035720588775,-0.468201607066782
13-0320,NF001529,StMatthew,0.9965895436669394,0.8426141607280616
13-0321,NF001530,Semidi,0.9949685681729475,0.8215422808662913
13-0322,NF001531,Semidi,0.999488672099041,-0.026009166710774953
13-0325,NF001534,Semidi,0.9999988625192032,-0.7925535189430768
13-0326,NF001535,Chagulak,0.9989850089298784,2.1027516633267007
13-0327,NF001536,Semidi,0.9955061224554661,-1.1793967034989934
13-0328,NF001537,StMatthew,0.9996898855040933,-0.4317768599887768
13-0329,NF001538,Semidi,0.9998822222864654,0.3660390054909266
13-0330,NF001539,Semidi,0.9934792359379799,0.4528038406641907
13-0331,NF001540,Semidi,0.9653044807298928,0.5684833217186955
